11/3/2015 10:11, 	 5.360,	     98.138,	   5.360,      98.138
11/3/2015 10:21, 	 5.360,	     98.138,	   5.360,      98.138
11/3/2015 10:31, 	 5.360,	     98.138,	   5.360,      98.138
11/3/2015 10:41, 	 5.334,	     98.125,	   5.360,      98.138
11/3/2015 10:51, 	 5.334,	     98.125,	   5.360,      98.138
11/3/2015 11:01, 	 5.360,	     98.138,	   5.360,      98.138
11/3/2015 11:11, 	 5.334,	     98.125,	   5.334,      98.125
11/3/2015 11:21, 	 5.334,	     98.125,	   5.334,      98.125
11/3/2015 11:31, 	 5.334,	     98.125,	   5.360,      98.138
11/3/2015 11:41, 	 5.334,	     98.125,	   5.360,      98.138
11/3/2015 11:51, 	 5.360,	     98.138,	   5.334,      98.125
11/3/2015 12:01, 	 5.334,	     98.125,	   5.334,      98.125
11/3/2015 12:11, 	 5.308,	     98.111,	   5.308,      98.111
11/3/2015 12:21, 	 5.334,	     98.125,	   5.334,      98.125
11/3/2015 12:31, 	 5.282,	     98.097,	   5.308,      98.111
11/3/2015 12:41, 	 5.308,	     98.111,	   5.308,      98.111
11/3/2015 12:51, 	 5.308,	     98.111,	   5.334,      98.125
11/3/2015 13:01, 	 5.308,	     98.111,	   5.334,      98.125
11/3/2015 13:11, 	 5.308,	     98.111,	   5.334,      98.125
11/3/2015 13:21, 	 5.308,	     98.111,	   5.308,      98.111
11/3/2015 13:31, 	 5.308,	     98.111,	   5.334,      98.125
11/3/2015 13:41, 	 5.308,	     98.111,	   5.334,      98.125
11/3/2015 13:51, 	 5.308,	     98.111,	   5.308,      98.111
11/3/2015 14:01, 	 5.308,	     98.111,	   5.308,      98.111
11/3/2015 14:11, 	 5.308,	     98.111,	   5.308,      98.111
11/3/2015 14:21, 	 5.308,	     98.111,	   5.308,      98.111
11/3/2015 14:31, 	 5.308,	     98.111,	   5.308,      98.111
11/3/2015 14:41, 	 5.282,	     98.097,	   5.308,      98.111
11/3/2015 14:51, 	 5.282,	     98.097,	   5.282,      98.097
11/3/2015 15:01, 	 5.282,	     98.097,	   5.282,      98.097
11/3/2015 15:11, 	 5.282,	     98.097,	   5.282,      98.097
11/3/2015 15:21, 	 5.282,	     98.097,	   5.282,      98.097
